A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Audi,Chevrolet,46305.405819295556,34875.39828353465,11430.00753576091,509.98238928123277,22.41255340575646,980.2362132388791,0.0,0.9636165194173795
Audi,Chrysler,46305.405819295556,35208.75488069414,11096.650938601415,528.9920003563759,20.97697305654098,996.7807059256359,4.952704912852823e-13,1.2752204929975792
Audi,Dodge,46305.405819295556,32108.071500503524,14197.334318792033,504.9762940674708,28.114853084361027,926.3392160147653,7.605027718682322e-14,1.4158632733973724
Audi,Fiat,46305.405819295556,21668.18181818182,24637.224001113736,677.3787409086141,36.37141603833943,207.67346449788744,8.104628079763643e-14,4.692901265367382
Audi,Ford,46305.405819295556,33066.46001239926,13238.9458068963,486.69984092036736,27.201459079709096,819.7661216791687,0.0,1.1670226647613875
Audi,Freightliner,46305.405819295556,0.0,46305.405819295556,,,,,
Audi,GMC,46305.405819295556,43078.840297121635,3226.5655221739216,600.6526686839782,5.371765897991068,1460.7476684366172,5.7584284154810206e-05,0.2663097844128418
Audi,Genesis,46305.405819295556,49126.92307692308,-2821.5172576275218,1754.0741695360289,-1.6085507138924706,88.69496487193786,0.9997302608411078,-0.19250515590525727
Audi,Honda,46305.405819295556,27710.97840172786,18594.427417567695,474.69841727072657,39.171033104504865,743.4217155128886,0.0,1.679899071373708
Audi,Hyundai,46305.405819295556,24322.95008807986,21982.455731215698,484.9579005591435,45.328585648095455,806.4801385685516,0.0,2.0857271332238994
Audi,Infiniti,46305.405819295556,45525.69031377899,779.715505516564,575.9525505813895,1.3537842739466786,1248.0211357275161,0.9999982223875685,0.07280933228474898
Audi,Jaguar,46305.405819295556,54111.72839506173,-7806.322575766171,1296.485588191811,-6.021141034551361,209.45553183759375,4.932188093942358e-06,-0.5280104981186892
Audi,Jeep,46305.405819295556,32334.428873985176,13970.97694531038,482.1209028739162,28.97816058592269,789.872443125319,0.0,1.2576538395068784
Audi,Kia,46305.405819295556,24375.759197324416,21929.64662197114,497.2322760520551,44.10342545759305,884.3588877043134,6.199485369506874e-13,2.068047210069187
Audi,Land Rover,46305.405819295556,54504.444444444445,-8199.038625148889,1174.4064133844759,-6.981432093444041,369.926177933238,9.022818048265435e-09,-0.5047228837065934
Audi,Lexus,46305.405819295556,42882.28562005277,3423.1201992427887,511.606653135961,6.69092197738305,979.498354514052,2.4706214740710664e-08,0.3130827914863927
Audi,Lincoln,46305.405819295556,45021.70731707317,1283.698502222389,823.8658367924822,1.5581402273216611,552.7497678251267,0.9999406326494302,0.11026189343502531
Audi,Mazda,46305.405819295556,27183.67381489842,19121.732004397138,503.13602619633303,38.005094067613996,912.1839006600611,2.4136248555350903e-13,1.959185978831913
Audi,Mercedes-Benz,46305.405819295556,46790.56814159292,-485.1623222973649,628.3813335237644,-0.7720826453846544,1587.6806494412474,0.9999999999998966,-0.037936800361184284
Audi,Mercury,46305.405819295556,29900.0,16405.405819295556,,,,,
Audi,Mini,46305.405819295556,25813.031914893618,20492.37390440194,623.3337886919451,32.87544214056617,637.154549051182,0.0,2.7186016141981875
Audi,Mitsubishi,46305.405819295556,21892.91891891892,24412.486900376636,573.7794778666954,42.546810825549116,884.9729189970801,7.16093850883226e-14,3.1217619132785974
Audi,Nissan,46305.405819295556,26456.463001383127,19848.94281791243,484.3609117605142,40.979654501365864,804.2958744126087,0.0,1.775124129704266
Audi,Porsche,46305.405819295556,59279.83870967742,-12974.43289038186,1486.6130675853879,-8.72751166613611,150.0104921124463,3.1189495430794523e-12,-0.8541081971796219
Audi,Ram,46305.405819295556,41320.847750865054,4984.558068430502,508.7565113669804,9.797531740748571,945.0754108508514,1.8562928971732617e-13,0.5074084238290114
Audi,Scion,46305.405819295556,18375.454545454544,27929.951273841012,606.2618378463625,46.06912315816744,211.50786510820438,0.0,7.167609253905792
Audi,Smart,46305.405819295556,13500.0,32805.405819295556,613.402908677723,53.48100792350702,25.576744028121475,0.0,21.908559981099348
Audi,Subaru,46305.405819295556,27978.791666666668,18326.61415262889,493.4738688095072,37.137962739225415,858.6985644948144,0.0,1.7815481185311342
Audi,Tesla,46305.405819295556,50899.11504424779,-4593.709224952232,1926.6191533371593,-2.384336944328265,125.8240176804137,0.9061506074017054,-0.24269426575806372
Audi,Toyota,46305.405819295556,28624.735468304454,17680.670350991102,477.6440783620175,37.01641274738156,762.0364807102426,0.0,1.5486119989961349
Audi,Volkswagen,46305.405819295556,27287.3133393017,19018.092479993855,511.45993249923805,37.18393420783198,970.1136259843654,0.0,1.8309416224514057
Audi,Volvo,46305.405819295556,44907.79661016949,1397.6092091260653,638.5723782405584,2.1886465133002795,831.2599697491614,0.9711569386742801,0.1534149395344785
BMW,Buick,47729.58146639511,33533.75338753388,14195.828078861232,649.7354082532854,21.848629301309824,1190.9899152974367,0.0,1.3333414434901079
BMW,Cadillac,47729.58146639511,51441.4168190128,-3711.835352617687,802.0273545795525,-4.628065777835652,1155.7278394432374,0.0023354680605068845,-0.24679733371412657
BMW,Chevrolet,47729.58146639511,34875.39828353465,12854.183182860463,536.3389331301931,23.966530096632358,1408.3408177277647,7.005507285384738e-14,0.8759129489307478
BMW,Chrysler,47729.58146639511,35208.75488069414,12520.826585700968,554.4456242547857,22.58260510673134,1383.4466222146916,9.403589018575076e-14,1.274309330591204
BMW,Dodge,47729.58146639511,32108.071500503524,15621.509965891586,531.5811051799676,29.386879657061737,1332.055602354021,8.215650382226158e-14,1.3220306223274623
BMW,Fiat,47729.58146639511,21668.18181818182,26061.39964821329,697.4377194052372,37.36735040719908,235.7708994056577,5.184741524999481e-14,4.748250814799579
BMW,Ford,47729.58146639511,33066.46001239926,14663.121453995853,514.251056358808,28.513546589129344,1201.7277301813813,2.745581539898012e-13,1.0390195662611237
BMW,Freightliner,47729.58146639511,0.0,47729.58146639511,,,,,
BMW,GMC,47729.58146639511,43078.840297121635,4650.741169273475,623.1862018782379,7.462843617616179,1912.6183683701,8.468059586874688e-11,0.3291626297024841
BMW,Genesis,47729.58146639511,49126.92307692308,-1397.3416105279684,1761.9175934327202,-0.7930800031376875,90.30072457900106,0.9999999999976973,-0.09323067752530596
BMW,Honda,47729.58146639511,27710.97840172786,20018.603064667248,502.9075473420257,39.80573202862009,1101.8918089456465,0.0,1.4497186239182724
BMW,Hyundai,47729.58146639511,24322.95008807986,23406.63137831525,512.6027498257994,45.662321137117694,1183.6103750659233,0.0,1.829134457730588
BMW,Infiniti,47729.58146639511,45525.69031377899,2203.8911526161173,599.4153437604405,3.6767346307653317,1656.7718229031752,0.09071566550477483,0.17938924449068325
BMW,Jaguar,47729.58146639511,54111.72839506173,-6382.146928666618,1307.0777689959023,-4.882759909205239,216.5493768320518,0.001158121743314644,-0.4137897754627216
BMW,Jeep,47729.58146639511,32334.428873985176,15395.152592409933,509.919580720528,30.191334427001667,1162.6547787042252,0.0,1.117802588664239
BMW,Kia,47729.58146639511,24375.759197324416,23353.822269070693,524.2302453713884,44.54878839073047,1282.9057990802135,4.440892098500626e-16,1.8293252220552645
BMW,Land Rover,47729.58146639511,54504.444444444445,-6774.862978049336,1186.0893042316955,-5.711933286876607,385.63599861814475,1.4347360353661465e-05,-0.39227168216118236
BMW,Lexus,47729.58146639511,42882.28562005277,4847.295846342342,537.8836131982629,9.011793122903036,1402.2966447452154,0.0,0.36903839775582487
BMW,Lincoln,47729.58146639511,45021.70731707317,2707.8741493219422,840.4357981714106,3.221988110470348,606.0314789966363,0.31272207163142673,0.21607317074512963
BMW,Mazda,47729.58146639511,27183.67381489842,20545.90765149669,529.8332517602836,38.778063821468926,1313.3989967308585,1.3866685577568205e-13,1.7960868699959522
BMW,Mercedes-Benz,47729.58146639511,46790.56814159292,939.0133248021884,649.9542400318221,1.4447375937669302,2028.985365044539,0.99999136080471,0.06300667321756367
BMW,Mercury,47729.58146639511,29900.0,17829.58146639511,,,,,
BMW,Mini,47729.58146639511,25813.031914893618,21916.54955150149,645.0755195628598,33.97516862266515,763.8569728251698,0.0,2.7029677455046346
BMW,Mitsubishi,47729.58146639511,21892.91891891892,25836.66254747619,597.3276345819072,43.253753972993856,1134.3871300486119,7.338574192772285e-13,3.01954181156116
BMW,Nissan,47729.58146639511,26456.463001383127,21273.118465011983,512.0379933713081,41.5459765494113,1181.4763148567636,0.0,1.5341568231088105
