A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Blue,Green,31241.744752308983,30670.93085106383,570.8139012451538,550.6654331222468,1.0365893097895509,484.5495489533914,0.9981941062515292,0.05618977916937401
Blue,Orange,31241.744752308983,28614.479166666668,2627.2655856423153,788.0321463328711,3.333957374541593,215.72913387656368,0.052498565564622846,0.24693851809992703
Blue,Purple,31241.744752308983,31380.821917808218,-139.07716549923498,1568.7142945515648,-0.08865678471999378,74.1984875132412,0.9999999999999987,-0.010479799408708404
Blue,Red,31241.744752308983,31534.883994126285,-293.1392418173018,264.514426339392,-1.1082164624215316,6971.272238847856,0.9966969402992425,-0.026538007822796823
Blue,Silver,31241.744752308983,31962.963602714375,-721.218850405392,255.87754834771582,-2.818609350693469,7827.197166120034,0.1935825219457541,-0.06210061600567867
Blue,Tan,31241.744752308983,34325.60810810811,-3083.8633557991234,894.0355105711195,-3.4493745710717,242.77187174391233,0.036472766038456395,-0.23854337737040912
Blue,White,31241.744752308983,34567.605155109486,-3325.860402800503,233.79497450639107,-14.225542742406494,7208.459123451979,2.180811087271195e-12,-0.2823259793698741
Blue,Yellow,31241.744752308983,29929.64814814815,1312.0966041608335,1588.1609812726076,0.8261735552207301,54.578135769797484,0.9997474176128673,0.11325093856136394
Brown,Gold,33035.048964218455,33254.68421052631,-219.63524630785832,834.6948160892406,-0.2631323953069528,517.4346461154853,0.9999999995965851,-0.01930408636919213
Brown,Gray,33035.048964218455,32632.7086938023,402.3402704161563,470.88842412790433,0.8544280339048455,636.676375477323,0.9997423446148741,0.03844605533777862
Brown,Green,33035.048964218455,30670.93085106383,2364.1181131546255,684.6409741512332,3.4530771636703204,824.2575498867782,0.03308132903320249,0.23254584413826726
Brown,Orange,33035.048964218455,28614.479166666668,4420.569797551787,886.8458196919178,4.984597885444679,331.7862870167721,7.488232812769002e-05,0.4193235443543089
Brown,Purple,33035.048964218455,31380.821917808218,1654.2270464102367,1620.606485912435,1.020745665767759,84.4348034924405,0.9981689651438652,0.127258176619712
Brown,Red,33035.048964218455,31534.883994126285,1500.1649700921698,485.25119885755623,3.091522439561325,715.4753355836821,0.09825686159713709,0.14421529406000352
Brown,Silver,33035.048964218455,31962.963602714375,1072.0853615040796,480.59771534982934,2.2307333706813477,689.7982440730107,0.568878970671852,0.10193969379316076
Brown,Tan,33035.048964218455,34325.60810810811,-1290.5591438896518,982.2425048903149,-1.3138905488861592,343.6865175933028,0.9843910710767856,-0.10490564335780476
Brown,White,33035.048964218455,34567.605155109486,-1532.5561908910313,469.2131012189259,-3.266226341314306,627.8044757311739,0.059838843593795876,-0.14595932030644046
Brown,Yellow,33035.048964218455,29929.64814814815,3105.400816070305,1639.4377532214542,1.8941864733615352,61.93473943849259,0.7922162236112964,0.27020739214795414
Gold,Gray,33254.68421052631,32632.7086938023,621.9755167240146,716.9206393801957,0.8675653657589428,306.8192750634627,0.9996877568585458,0.052413077897727464
Gold,Green,33254.68421052631,30670.93085106383,2583.753359462484,872.3374110276351,2.9618738423917397,551.3312716758043,0.1390594485100849,0.23235723454382595
Gold,Orange,33254.68421052631,28614.479166666668,4640.205043859645,1038.621588017829,4.467657034469412,439.4268435321585,0.0007213905535440324,0.41646579697520625
Gold,Purple,33254.68421052631,31380.821917808218,1873.862292718095,1708.3924248758242,1.0968570601419625,103.27970218968726,0.9965232490266168,0.1435790688785774
Gold,Red,33254.68421052631,31534.883994126285,1719.8002164000281,726.4351458900809,2.367451831219984,323.33244400930784,0.469821601375773,0.14595702825670664
Gold,Silver,33254.68421052631,31962.963602714375,1291.720607811938,723.3349564282947,1.7857848515855437,317.9052171442725,0.8555086194694774,0.10882045446975236
Gold,Tan,33254.68421052631,34325.60810810811,-1070.9238975817934,1121.1777885798701,-0.9551775895759312,452.48325898602366,0.9991886238964373,-0.08537749252335021
Gold,White,33254.68421052631,34567.605155109486,-1312.920944583173,715.8213670652264,-1.8341460663097786,304.94790564348204,0.8309693723316695,-0.11038790434314429
Gold,Yellow,33254.68421052631,29929.64814814815,3325.0360623781635,1726.2663299385345,1.926143147619959,75.62706624637282,0.7748603740543121,0.28523365837886666
Gray,Green,32632.7086938023,30670.93085106383,1961.7778427384692,534.7831622721559,3.668361274508682,431.7573783950402,0.016663368771075993,0.19414028393258637
Gray,Orange,32632.7086938023,28614.479166666668,4018.2295271356306,777.0169078392613,5.171354042101317,203.95466397490412,4.1439066855497586e-05,0.37821831519872007
