A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Convertibles,Coupes,42277.30057803468,35709.26743159753,6568.033146437148,1064.6955131368452,6.168930990500906,482.6194884651314,1.5196985381216166e-07,0.37872185920548235
Convertibles,Crossovers,42277.30057803468,32187.03410147773,10090.26647655695,980.6259168037744,10.289618399486004,351.0968776584516,5.972999872483342e-14,0.5629336478562256
Convertibles,Diesel Engines,42277.30057803468,45779.65201465201,-3502.351436617333,1145.3092965818487,-3.057996164939922,553.9197541771279,0.13521381140996014,-0.24724894207468076
Convertibles,Electric Vehicles,42277.30057803468,49358.91472868217,-7081.614150647489,1959.7887904785082,-3.6134578302789553,217.66020188433427,0.028209864395656647,-0.3721751329400821
Convertibles,Hatchbacks,42277.30057803468,23699.7,18577.60057803468,1005.612611714596,18.473913673735037,387.9358247332006,8.637535131583718e-14,1.1034190913831612
Convertibles,Hybrids,42277.30057803468,31495.35593220339,10781.944645831289,1051.4919898398339,10.253948437090447,450.6138479085205,1.8030021919912542e-13,0.811635159600136
Convertibles,Luxury Vehicles,42277.30057803468,45239.515634771735,-2962.2150567370554,1014.4296159796435,-2.9200794319046164,401.796287807322,0.19163261643726692,-0.1652236708911658
Convertibles,Minivans and Vans,42277.30057803468,34977.44089834515,7299.859679689529,993.5324425547824,7.34737927723686,369.75933886388975,1.3700918177761423e-10,0.4685689397848521
Convertibles,Pickup Trucks,42277.30057803468,37064.17624309392,5213.12433494076,984.1518172710582,5.297073320858325,356.165957247724,2.1039893191909798e-05,0.29801479274193654
Convertibles,Plug-in Hybrids,42277.30057803468,45378.92857142857,-3101.627993393893,2288.6593400330044,-1.3552161036553239,60.91387162596924,0.9882760940062532,-0.221012336864354
Convertibles,Sedans,42277.30057803468,24832.546765937645,17444.753812097035,980.6148792965893,17.78960750076568,351.080954477409,0.0,0.9753511704849658
